date,pm10_avg,pm25_avg,aqi,aqi_category,temp_max,temp_min,temp_mean,wind_speed_max,wind_speed_mean,humidity_mean,precipitation,air_pollution_Delhi,N95_mask,air_purifier,breathing_problem,AQI_Delhi,year,month,season
2016-01-29,272.375,356.0,443,Severe,25.5,13.75,19.37,8.4,5.72,72.75,0.5,5,0,4,0,0,2016,1,Winter
2016-01-30,272.375,203.0,364,Very Poor,22.15,12.85,17.37,14.01,10.71,77.33,0.0,5,0,4,0,0,2016,1,Winter
2016-01-31,272.375,124.0,304,Very Poor,22.1,9.7,15.16,12.5,10.02,64.97,0.0,5,0,6,56,0,2016,1,Winter
2016-02-01,257.6666666666667,136.0,313,Very Poor,20.95,7.45,14.2,15.35,9.65,58.05,0.0,5,0,6,56,0,2016,2,Winter
2016-02-02,257.6666666666667,148.0,322,Very Poor,21.55,8.35,14.47,20.62,12.37,53.28,0.0,5,0,6,56,0,2016,2,Winter
2016-02-03,257.6666666666667,137.0,314,Very Poor,22.35,8.3,14.85,13.83,10.97,51.71,0.0,5,0,6,56,0,2016,2,Winter
2016-02-04,489.3333333333333,207.2,367,Very Poor,22.85,6.9,14.75,10.8,8.59,57.53,0.0,5,0,6,56,0,2016,2,Winter
2016-02-05,406.6666666666667,201.4,363,Very Poor,23.1,7.1,15.8,12.24,7.85,59.48,0.0,5,0,6,56,0,2016,2,Winter
2016-02-06,256.0,160.25,332,Very Poor,19.6,12.1,15.39,13.71,8.96,73.85,4.0,5,0,6,56,0,2016,2,Winter
2016-02-07,274.3333333333333,131.64,310,Very Poor,21.75,8.6,15.0,11.02,7.53,73.57,0.0,5,0,5,73,0,2016,2,Winter
2016-02-08,307.3333333333333,196.2,359,Very Poor,22.9,9.55,15.95,10.09,8.25,69.48,0.0,5,0,5,73,0,2016,2,Winter
2016-02-09,370.6666666666667,218.8,376,Very Poor,23.4,9.15,16.31,9.69,6.08,66.65,0.0,5,0,5,73,0,2016,2,Winter
2016-02-10,296.3333333333333,122.2,303,Very Poor,24.75,12.25,17.58,16.1,9.78,55.78,0.0,5,0,5,73,0,2016,2,Winter
2016-02-11,362.3333333333333,154.4,327,Very Poor,24.25,9.4,16.62,11.18,5.43,64.54,0.0,5,0,5,73,0,2016,2,Winter
2016-02-12,283.0,110.68,269,Poor,22.05,11.85,16.14,15.14,10.03,61.5,0.7,5,0,5,73,0,2016,2,Winter
2016-02-13,213.5,107.725,259,Poor,23.6,9.35,15.9,11.09,9.36,65.29,0.0,5,0,5,73,0,2016,2,Winter
2016-02-14,259.0,120.2,301,Very Poor,22.35,9.45,15.74,9.29,7.69,59.59,0.0,0,0,4,0,0,2016,2,Winter
2016-02-15,288.0,106.66,256,Poor,23.3,8.9,15.86,9.69,7.22,54.79,0.0,0,0,4,0,0,2016,2,Winter
2016-02-16,256.3333333333333,127.8,307,Very Poor,25.6,11.05,18.01,11.79,7.76,53.77,0.2,0,0,4,0,0,2016,2,Winter
2016-02-17,257.6666666666667,165.2,335,Very Poor,27.05,14.75,20.47,11.54,7.87,61.14,1.4,0,0,4,0,0,2016,2,Winter
2016-02-18,367.6666666666667,197.4,360,Very Poor,28.8,17.0,22.71,8.44,5.74,65.85,0.0,0,0,4,0,0,2016,2,Winter
2016-02-19,255.66666666666663,136.6,314,Very Poor,25.9,18.1,21.85,12.29,7.01,74.74,14.4,0,0,4,0,0,2016,2,Winter
