date,pm10_avg,pm25_avg,aqi,aqi_category
2016-01-29,267.58333333333337,356.0,443.0,Severe
2016-01-30,267.58333333333337,203.0,364.0,Very Poor
2016-01-31,267.58333333333337,124.0,304.0,Very Poor
2016-02-01,245.0,136.0,313.0,Very Poor
2016-02-02,245.0,148.0,322.0,Very Poor
2016-02-03,245.0,137.0,314.0,Very Poor
2016-02-04,425.0,225.66666666666663,381.0,Very Poor
2016-02-05,366.0,211.0,370.0,Very Poor
2016-02-06,227.0,160.0,331.0,Very Poor
2016-02-07,284.5,132.73333333333332,311.0,Very Poor
2016-02-08,299.0,200.0,362.0,Very Poor
2016-02-09,333.0,206.33333333333337,367.0,Very Poor
2016-02-10,287.0,120.66666666666669,302.0,Very Poor
2016-02-11,339.5,126.0,306.0,Very Poor
2016-02-12,280.5,95.8,220.0,Poor
2016-02-13,200.0,106.63333333333333,256.0,Poor
2016-02-14,245.5,107.66666666666669,259.0,Poor
2016-02-15,291.0,106.93333333333334,257.0,Poor
2016-02-16,245.0,121.66666666666669,302.0,Very Poor
2016-02-17,222.0,167.66666666666666,337.0,Very Poor
2016-02-18,342.0,214.0,373.0,Very Poor
2016-02-19,245.0,146.33333333333334,321.0,Very Poor
2016-02-20,90.5,62.2,108.0,Moderate
2016-02-21,149.0,70.36666666666666,135.0,Moderate
2016-02-22,160.0,68.39999999999999,129.0,Moderate
2016-02-23,257.0,159.33333333333334,331.0,Very Poor
2016-02-24,254.0,117.33333333333331,291.0,Poor
2016-02-25,249.0,131.66666666666666,310.0,Very Poor
2016-02-26,245.0,139.66666666666666,316.0,Very Poor
2016-02-27,395.0,225.0,381.0,Very Poor
2016-02-28,288.0,166.66666666666666,337.0,Very Poor
2016-02-29,385.5,205.66666666666663,366.0,Very Poor
2016-03-01,253.0,180.33333333333337,347.0,Very Poor
2016-03-02,261.0,142.66666666666666,318.0,Very Poor
2016-03-03,203.0,107.56666666666666,259.0,Poor
2016-03-04,148.0,51.5,86.0,Satisfactory
2016-03-05,167.0,39.05,66.0,Satisfactory
2016-03-06,186.0,83.86666666666667,180.0,Moderate
2016-03-07,178.5,72.2,141.0,Moderate
2016-03-08,238.5,112.73333333333332,276.0,Poor
2016-03-09,276.0,137.33333333333334,314.0,Very Poor
2016-03-10,244.0,93.7,213.0,Poor
2016-03-11,135.1,37.46666666666667,63.0,Satisfactory
2016-03-12,64.8,28.399999999999995,47.0,Good
2016-03-13,50.65,35.833333333333336,61.0,Satisfactory
2016-03-14,184.5,78.86666666666666,163.0,Moderate
2016-03-15,212.0,71.8,140.0,Moderate
2016-03-16,203.0,104.06666666666666,247.0,Poor
2016-03-17,126.0,62.46666666666667,109.0,Moderate
2016-03-18,162.0,79.94999999999999,167.0,Moderate
2016-03-19,167.75,78.4,162.0,Moderate
2016-03-20,173.5,32.800000000000004,56.0,Satisfactory
2016-03-21,284.5,30.799999999999997,52.0,Satisfactory
2016-03-22,195.0,59.833333333333336,100.0,Satisfactory
2016-03-23,217.5,131.5,310.0,Very Poor
2016-03-24,240.0,102.675,243.0,Poor
2016-03-25,179.5,43.725,73.0,Satisfactory
2016-03-26,102.0,45.925,77.0,Satisfactory
2016-03-27,103.5,160.26666666666668,332.0,Very Poor
2016-03-28,105.0,70.03333333333333,134.0,Moderate
2016-03-29,263.0,179.65,346.0,Very Poor
2016-03-30,145.0,63.3,112.0,Moderate
2016-03-31,210.5,67.4,125.0,Moderate
2016-04-01,276.0,51.2,86.0,Satisfactory
2016-04-02,341.5,120.0,300.0,Poor
2016-04-03,407.0,137.43333333333334,314.0,Very Poor
2016-04-04,402.0,54.7,91.0,Satisfactory
2016-04-05,397.0,48.5,81.0,Satisfactory
2016-04-06,392.0,69.2,131.0,Moderate
2016-04-07,252.0,45.85,77.0,Satisfactory
2016-04-08,199.0,65.53333333333333,119.0,Moderate
2016-04-09,133.0,47.8,80.0,Satisfactory
2016-04-10,246.0,45.575,76.0,Satisfactory
2016-04-11,225.5,41.05,69.0,Satisfactory
2016-04-12,258.0,62.475,109.0,Moderate
2016-04-13,242.0,61.65,106.0,Moderate
2016-04-14,320.5,99.63333333333333,233.0,Poor
2016-04-15,318.5,87.3,191.0,Moderate
2016-04-16,316.5,57.95,97.0,Satisfactory
2016-04-17,314.5,59.93333333333334,100.0,Satisfactory
2016-04-18,362.5,98.0,227.0,Poor
2016-04-19,350.5,103.825,247.0,Poor
2016-04-20,311.0,81.325,171.0,Moderate
2016-04-21,187.0,89.15,197.0,Moderate
2016-04-22,109.0,70.725,136.0,Moderate
2016-04-23,222.5,99.075,231.0,Poor
2016-04-24,339.0,91.05,204.0,Poor
2016-04-25,431.5,93.375,212.0,Poor
2016-04-26,564.0,111.075,271.0,Poor
2016-04-27,582.5,150.55,324.0,Very Poor
2016-04-28,437.5,200.75,362.0,Very Poor
2016-04-29,419.1,235.5,389.0,Very Poor
2016-04-30,400.7,154.5,327.0,Very Poor
2016-05-01,382.3,126.2,306.0,Very Poor
2016-05-02,363.9,123.45,304.0,Very Poor
2016-05-03,345.5,96.625,223.0,Poor
2016-05-04,221.0,75.8,153.0,Moderate
2016-05-05,201.35,46.7,78.0,Satisfactory
2016-05-06,273.0,65.25,118.0,Moderate
2016-05-07,265.0,82.0,174.0,Moderate
2016-05-08,209.0,70.375,135.0,Moderate
2016-05-09,205.0,62.375,109.0,Moderate
2016-05-10,144.6,49.825,83.0,Satisfactory
2016-05-11,293.0,78.175,161.0,Moderate
2016-05-12,344.0,73.475,145.0,Moderate
2016-05-13,480.0,77.89999999999999,160.0,Moderate
2016-05-14,952.0,94.15,215.0,Poor
2016-05-15,304.0,60.875,104.0,Moderate
2016-05-16,295.0,132.95,311.0,Very Poor
2016-05-17,340.5,158.675,330.0,Very Poor
2016-05-18,257.0,79.15,164.0,Moderate
2016-05-19,224.5,60.2,102.0,Moderate
2016-05-20,317.0,56.625,94.0,Satisfactory
2016-05-21,156.0,58.425,97.0,Satisfactory
2016-05-22,155.0,71.425,139.0,Moderate
2016-05-23,122.0,44.65,75.0,Satisfactory
2016-05-24,275.0,83.1,177.0,Moderate
2016-05-25,449.0,85.475,185.0,Moderate
2016-05-26,508.0,165.175,335.0,Very Poor
2016-05-27,434.0,103.275,245.0,Poor
2016-05-28,273.5,16.34,27.0,Good
2016-05-29,113.0,38.555,65.0,Satisfactory
2016-05-30,462.5,46.575,78.0,Satisfactory
2016-05-31,400.0,48.725,82.0,Satisfactory
2016-06-01,426.0,56.55,94.0,Satisfactory
2016-06-02,364.5,85.1,184.0,Moderate
2016-06-03,303.0,76.4,155.0,Moderate
2016-06-04,241.5,60.125,101.0,Moderate
2016-06-05,253.5,60.1,101.0,Moderate
2016-06-06,221.5,57.675,96.0,Satisfactory
2016-06-07,171.0,51.6,86.0,Satisfactory
2016-06-08,217.0,69.125,131.0,Moderate
2016-06-09,305.0,68.55,129.0,Moderate
2016-06-10,325.5,44.475,75.0,Satisfactory
2016-06-11,429.5,48.0,80.0,Satisfactory
2016-06-12,431.0,77.025,157.0,Moderate
2016-06-13,270.0,35.225,60.0,Satisfactory
2016-06-14,381.0,81.925,173.0,Moderate
2016-06-15,125.75,43.75,73.0,Satisfactory
2016-06-16,147.65,42.5,71.0,Satisfactory
2016-06-17,150.5,50.025,84.0,Satisfactory
2016-06-18,104.25,52.5,88.0,Satisfactory
2016-06-19,78.3,46.675,78.0,Satisfactory
2016-06-20,70.25,49.849999999999994,83.0,Satisfactory
2016-06-21,134.35,34.300000000000004,58.0,Satisfactory
2016-06-22,139.65,32.9,56.0,Satisfactory
2016-06-23,512.0,72.63333333333334,143.0,Moderate
2016-06-24,197.0,57.06666666666666,95.0,Satisfactory
2016-06-25,125.0,47.23333333333333,79.0,Satisfactory
2016-06-26,109.5,56.9,95.0,Satisfactory
2016-06-27,137.25,39.56666666666666,67.0,Satisfactory
2016-06-28,81.45,30.166666666666668,51.0,Satisfactory
