date,pm10_avg,pm25_avg,aqi,aqi_category,aqi_source,temp_max,temp_min,temp_mean,wind_speed_max,wind_speed_mean,humidity_mean,precipitation,air_pollution_Delhi,N95_mask,air_purifier,breathing_problem,AQI_Delhi,year,month,season
2016-01-29,267.58333333333337,356.0,443.0,Severe,openaq_computed,25.5,13.75,19.37,8.4,5.72,72.75,0.5,0.0,,0,,0.0,2016,1,Winter
2016-01-30,267.58333333333337,203.0,364.0,Very Poor,openaq_computed,22.15,12.85,17.37,14.01,10.71,77.33,0.0,0.0,,0,,0.0,2016,1,Winter
2016-01-31,267.58333333333337,124.0,304.0,Very Poor,openaq_computed,22.1,9.7,15.16,12.5,10.02,64.97,0.0,0.0,,0,,0.0,2016,1,Winter
2016-02-01,245.0,136.0,313.0,Very Poor,openaq_computed,20.95,7.45,14.2,15.35,9.65,58.05,0.0,0.0,,67,,0.0,2016,2,Winter
2016-02-02,245.0,148.0,322.0,Very Poor,openaq_computed,21.55,8.35,14.47,20.62,12.37,53.28,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-03,245.0,137.0,314.0,Very Poor,openaq_computed,22.35,8.3,14.85,13.83,10.97,51.71,0.0,0.0,,73,,0.0,2016,2,Winter
2016-02-04,425.0,225.66666666666663,381.0,Very Poor,openaq_computed,22.85,6.9,14.75,10.8,8.59,57.53,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-05,366.0,211.0,370.0,Very Poor,openaq_computed,23.1,7.1,15.8,12.24,7.85,59.48,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-06,227.0,160.0,331.0,Very Poor,openaq_computed,19.6,12.1,15.39,13.71,8.96,73.85,4.0,0.0,,0,,0.0,2016,2,Winter
2016-02-07,284.5,132.73333333333332,311.0,Very Poor,openaq_computed,21.75,8.6,15.0,11.02,7.53,73.57,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-08,299.0,200.0,362.0,Very Poor,openaq_computed,22.9,9.55,15.95,10.09,8.25,69.48,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-09,333.0,206.33333333333337,367.0,Very Poor,openaq_computed,23.4,9.15,16.31,9.69,6.08,66.65,0.0,0.0,,56,,0.0,2016,2,Winter
2016-02-10,287.0,120.66666666666669,302.0,Very Poor,openaq_computed,24.75,12.25,17.58,16.1,9.78,55.78,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-11,339.5,126.0,306.0,Very Poor,openaq_computed,24.25,9.4,16.62,11.18,5.43,64.54,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-12,280.5,95.8,220.0,Poor,openaq_computed,22.05,11.85,16.14,15.14,10.03,61.5,0.7,0.0,,0,,0.0,2016,2,Winter
2016-02-13,200.0,106.63333333333333,256.0,Poor,openaq_computed,23.6,9.35,15.9,11.09,9.36,65.29,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-14,245.5,107.66666666666669,259.0,Poor,openaq_computed,22.35,9.45,15.74,9.29,7.69,59.59,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-15,291.0,106.93333333333334,257.0,Poor,openaq_computed,23.3,8.9,15.86,9.69,7.22,54.79,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-16,245.0,121.66666666666669,302.0,Very Poor,openaq_computed,25.6,11.05,18.01,11.79,7.76,53.77,0.2,0.0,,0,,0.0,2016,2,Winter
2016-02-17,222.0,167.66666666666666,337.0,Very Poor,openaq_computed,27.05,14.75,20.47,11.54,7.87,61.14,1.4,0.0,,54,,0.0,2016,2,Winter
2016-02-18,342.0,214.0,373.0,Very Poor,openaq_computed,28.8,17.0,22.71,8.44,5.74,65.85,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-19,245.0,146.33333333333334,321.0,Very Poor,openaq_computed,25.9,18.1,21.85,12.29,7.01,74.74,14.4,0.0,,0,,58.0,2016,2,Winter
2016-02-20,90.5,62.2,108.0,Moderate,openaq_computed,25.4,14.6,19.27,19.67,14.7,65.22,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-21,149.0,70.36666666666666,135.0,Moderate,openaq_computed,26.15,13.0,18.84,22.77,15.91,52.25,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-22,160.0,68.39999999999999,129.0,Moderate,openaq_computed,26.95,12.4,19.11,15.79,9.96,54.17,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-23,257.0,159.33333333333334,331.0,Very Poor,openaq_computed,26.7,11.35,18.61,9.03,6.11,57.78,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-24,254.0,117.33333333333331,291.0,Poor,openaq_computed,27.35,11.45,19.56,10.3,8.35,58.99,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-25,249.0,131.66666666666666,310.0,Very Poor,openaq_computed,27.45,13.7,20.7,10.3,6.46,58.8,0.0,74.0,,0,,0.0,2016,2,Winter
2016-02-26,245.0,139.66666666666666,316.0,Very Poor,openaq_computed,27.3,12.15,20.63,9.83,5.47,60.24,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-27,395.0,225.0,381.0,Very Poor,openaq_computed,28.0,14.9,21.5,9.2,5.98,61.18,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-28,288.0,166.66666666666666,337.0,Very Poor,openaq_computed,28.05,15.05,21.87,9.83,6.85,62.32,0.0,0.0,,0,,0.0,2016,2,Winter
2016-02-29,385.5,205.66666666666663,366.0,Very Poor,openaq_computed,28.65,16.1,22.54,9.96,4.64,61.93,0.0,0.0,,0,,0.0,2016,2,Winter
2016-03-01,253.0,180.33333333333337,347.0,Very Poor,openaq_computed,30.5,15.65,23.32,9.51,5.44,62.35,0.0,0.0,,62,,0.0,2016,3,Spring
2016-03-02,261.0,142.66666666666666,318.0,Very Poor,openaq_computed,31.45,15.95,23.5,9.42,6.65,59.74,0.2,0.0,,0,,0.0,2016,3,Spring
2016-03-03,203.0,107.56666666666666,259.0,Poor,openaq_computed,31.9,16.2,23.78,10.59,8.09,50.99,0.0,0.0,,0,,0.0,2016,3,Spring
2016-03-04,148.0,51.5,86.0,Satisfactory,openaq_computed,29.85,17.05,22.44,18.49,12.15,59.49,12.2,0.0,,0,,0.0,2016,3,Spring
2016-03-05,167.0,39.05,66.0,Satisfactory,openaq_computed,25.9,16.0,20.21,17.07,9.86,75.12,2.6,0.0,,0,,0.0,2016,3,Spring
2016-03-06,186.0,83.86666666666667,180.0,Moderate,openaq_computed,27.75,15.05,21.35,11.44,6.56,68.75,0.0,0.0,,0,,0.0,2016,3,Spring
2016-03-07,178.5,72.2,141.0,Moderate,openaq_computed,27.65,16.35,21.72,11.18,8.91,66.33,0.0,0.0,,0,,0.0,2016,3,Spring
2016-03-08,238.5,112.73333333333332,276.0,Poor,openaq_computed,28.0,14.9,21.49,13.09,8.93,62.5,0.0,0.0,,0,,0.0,2016,3,Spring
2016-03-09,276.0,137.33333333333334,314.0,Very Poor,openaq_computed,29.75,15.15,22.54,13.53,8.5,61.9,0.0,0.0,,0,,0.0,2016,3,Spring
