date,temp_max,temp_min,temp_mean,wind_speed_max,wind_speed_mean,humidity_mean,precipitation
2016-01-29,25.5,13.75,19.37,8.4,5.72,72.75,0.5
2016-01-30,22.15,12.85,17.37,14.01,10.71,77.33,0.0
2016-01-31,22.1,9.7,15.16,12.5,10.02,64.97,0.0
2016-02-01,20.95,7.45,14.2,15.35,9.65,58.05,0.0
2016-02-02,21.55,8.35,14.47,20.62,12.37,53.28,0.0
2016-02-03,22.35,8.3,14.85,13.83,10.97,51.71,0.0
2016-02-04,22.85,6.9,14.75,10.8,8.59,57.53,0.0
2016-02-05,23.1,7.1,15.8,12.24,7.85,59.48,0.0
2016-02-06,19.6,12.1,15.39,13.71,8.96,73.85,4.0
2016-02-07,21.75,8.6,15.0,11.02,7.53,73.57,0.0
2016-02-08,22.9,9.55,15.95,10.09,8.25,69.48,0.0
2016-02-09,23.4,9.15,16.31,9.69,6.08,66.65,0.0
2016-02-10,24.75,12.25,17.58,16.1,9.78,55.78,0.0
2016-02-11,24.25,9.4,16.62,11.18,5.43,64.54,0.0
2016-02-12,22.05,11.85,16.14,15.14,10.03,61.5,0.7
2016-02-13,23.6,9.35,15.9,11.09,9.36,65.29,0.0
2016-02-14,22.35,9.45,15.74,9.29,7.69,59.59,0.0
2016-02-15,23.3,8.9,15.86,9.69,7.22,54.79,0.0
2016-02-16,25.6,11.05,18.01,11.79,7.76,53.77,0.2
2016-02-17,27.05,14.75,20.47,11.54,7.87,61.14,1.4
2016-02-18,28.8,17.0,22.71,8.44,5.74,65.85,0.0
2016-02-19,25.9,18.1,21.85,12.29,7.01,74.74,14.4
2016-02-20,25.4,14.6,19.27,19.67,14.7,65.22,0.0
2016-02-21,26.15,13.0,18.84,22.77,15.91,52.25,0.0
2016-02-22,26.95,12.4,19.11,15.79,9.96,54.17,0.0
2016-02-23,26.7,11.35,18.61,9.03,6.11,57.78,0.0
2016-02-24,27.35,11.45,19.56,10.3,8.35,58.99,0.0
2016-02-25,27.45,13.7,20.7,10.3,6.46,58.8,0.0
2016-02-26,27.3,12.15,20.63,9.83,5.47,60.24,0.0
2016-02-27,28.0,14.9,21.5,9.2,5.98,61.18,0.0
2016-02-28,28.05,15.05,21.87,9.83,6.85,62.32,0.0
2016-02-29,28.65,16.1,22.54,9.96,4.64,61.93,0.0
2016-03-01,30.5,15.65,23.32,9.51,5.44,62.35,0.0
2016-03-02,31.45,15.95,23.5,9.42,6.65,59.74,0.2
2016-03-03,31.9,16.2,23.78,10.59,8.09,50.99,0.0
2016-03-04,29.85,17.05,22.44,18.49,12.15,59.49,12.2
2016-03-05,25.9,16.0,20.21,17.07,9.86,75.12,2.6
2016-03-06,27.75,15.05,21.35,11.44,6.56,68.75,0.0
2016-03-07,27.65,16.35,21.72,11.18,8.91,66.33,0.0
2016-03-08,28.0,14.9,21.49,13.09,8.93,62.5,0.0
2016-03-09,29.75,15.15,22.54,13.53,8.5,61.9,0.0
2016-03-10,30.9,18.0,23.32,13.49,9.26,64.76,2.2
2016-03-11,28.45,17.55,21.25,16.68,10.67,76.54,22.2
2016-03-12,27.25,16.35,21.19,20.66,11.88,70.81,0.0
2016-03-13,25.1,16.25,20.66,10.59,7.42,76.55,0.9
2016-03-14,27.35,14.45,20.8,12.77,7.33,65.56,0.0
2016-03-15,27.65,14.05,20.76,16.9,11.44,55.89,0.0
2016-03-16,29.8,16.35,22.79,15.48,9.62,56.23,0.1
2016-03-17,29.35,18.65,23.81,16.08,9.94,58.71,0.0
2016-03-18,30.7,17.75,23.96,10.23,6.28,59.93,0.5
2016-03-19,31.4,18.1,24.73,13.76,7.24,55.55,0.0
2016-03-20,30.55,17.5,23.9,24.22,15.16,44.94,0.0
2016-03-21,29.8,16.2,22.46,26.67,19.84,36.14,0.0
