date,pm10_avg,pm25_avg
2016-01-29,,356.0
2016-01-30,,203.0
2016-01-31,,124.0
2016-02-01,,136.0
2016-02-02,,148.0
2016-02-03,,137.0
2016-02-04,425.0,225.66666666666666
2016-02-05,366.0,211.0
2016-02-06,227.0,160.0
2016-02-07,284.5,132.73333333333332
2016-02-08,299.0,200.0
2016-02-09,333.0,206.33333333333334
2016-02-10,287.0,120.66666666666667
2016-02-11,339.5,126.0
2016-02-12,280.5,95.8
2016-02-13,200.0,106.63333333333333
2016-02-14,245.5,107.66666666666667
2016-02-15,291.0,106.93333333333334
2016-02-16,245.0,121.66666666666667
2016-02-17,222.0,167.66666666666666
2016-02-18,342.0,214.0
2016-02-19,245.0,146.33333333333334
2016-02-20,90.5,62.199999999999996
2016-02-21,149.0,70.36666666666666
2016-02-22,160.0,68.39999999999999
2016-02-23,257.0,159.33333333333334
2016-02-24,254.0,117.33333333333333
2016-02-25,249.0,131.66666666666666
2016-02-26,245.0,139.66666666666666
2016-02-27,395.0,225.0
2016-02-28,288.0,166.66666666666666
2016-02-29,385.5,205.66666666666666
2016-03-01,253.0,180.33333333333334
2016-03-02,261.0,142.66666666666666
2016-03-03,203.0,107.56666666666666
2016-03-04,148.0,51.5
2016-03-05,,39.05
2016-03-06,186.0,83.86666666666667
2016-03-07,178.5,72.2
2016-03-08,238.5,112.73333333333333
2016-03-09,276.0,137.33333333333334
2016-03-10,244.0,93.7
2016-03-11,135.1,37.46666666666667
2016-03-12,64.8,28.399999999999995
2016-03-13,50.65,35.833333333333336
2016-03-14,184.5,78.86666666666666
2016-03-15,212.0,71.8
2016-03-16,203.0,104.06666666666666
2016-03-17,126.0,62.46666666666667
2016-03-18,162.0,79.94999999999999
2016-03-19,,78.4
2016-03-20,173.5,32.800000000000004
2016-03-21,284.5,30.799999999999997
2016-03-22,195.0,59.833333333333336
2016-03-23,,131.5
2016-03-24,240.0,102.675
2016-03-25,179.5,43.725
2016-03-26,102.0,45.925
