week,air_pollution_Delhi,N95_mask,air_purifier,breathing_problem,AQI_Delhi
2015-12-27,10,0,6,37,13
2016-01-03,18,0,8,61,11
2016-01-10,15,0,6,0,0
2016-01-17,11,0,6,0,0
2016-01-24,5,0,4,0,0
2016-01-31,5,0,6,56,0
2016-02-07,5,0,5,73,0
2016-02-14,0,0,4,0,0
2016-02-21,4,0,6,48,0
2016-02-28,3,0,5,0,0
2016-03-06,0,0,3,0,0
2016-03-13,0,0,4,0,0
2016-03-20,0,0,4,0,0
2016-03-27,0,0,4,0,0
2016-04-03,0,0,3,49,0
2016-04-10,0,0,3,0,0
2016-04-17,4,0,3,72,0
2016-04-24,5,0,4,0,0
2016-05-01,4,0,4,0,0
2016-05-08,3,0,3,71,0
2016-05-15,5,0,3,57,0
2016-05-22,6,0,3,59,0
2016-05-29,8,0,3,47,0
2016-06-05,6,0,3,45,0
2016-06-12,6,0,3,58,0
2016-06-19,8,0,2,0,0
2016-06-26,8,0,3,51,0
2016-07-03,5,0,2,70,0
2016-07-10,0,0,2,60,0
2016-07-17,3,0,2,0,0
2016-07-24,0,0,2,0,0
2016-07-31,0,0,2,55,0
2016-08-07,0,0,2,0,0
2016-08-14,0,0,3,0,0
2016-08-21,0,0,3,65,0
2016-08-28,0,0,2,82,0
2016-09-04,0,0,2,100,0
2016-09-11,0,0,3,69,0
2016-09-18,0,0,6,60,0
2016-09-25,5,0,4,65,0
2016-10-02,0,0,5,0,0
2016-10-09,6,0,5,67,0
2016-10-16,0,0,7,69,0
2016-10-23,10,0,15,83,0
2016-10-30,79,61,86,0,84
2016-11-06,100,100,100,0,100
2016-11-13,17,0,16,0,33
2016-11-20,9,0,12,0,21
2016-11-27,11,0,12,0,29
2016-12-04,5,0,11,0,20
2016-12-11,6,0,8,53,0
2016-12-18,9,0,9,0,0
2016-12-25,9,0,8,0,0
2017-01-01,8,0,6,0,0
2017-01-08,4,0,3,0,0
2017-01-15,3,0,4,0,3
2017-01-22,3,0,4,0,3
2017-01-29,2,0,3,0,2
2017-02-05,2,0,3,0,0
2017-02-12,2,0,4,51,0
2017-02-19,3,0,3,0,0
2017-02-26,0,0,3,0,0
2017-03-05,2,0,2,0,0
2017-03-12,2,0,3,0,0
2017-03-19,0,0,2,0,0
2017-03-26,1,0,3,52,0
2017-04-02,1,0,3,56,0
2017-04-09,1,0,2,0,0
2017-04-16,0,0,2,0,0
2017-04-23,0,0,2,76,0
2017-04-30,2,0,2,51,0
2017-05-07,2,0,2,0,0
2017-05-14,2,0,3,100,0
2017-05-21,2,0,2,0,0
2017-05-28,2,0,2,44,0
2017-06-04,0,0,2,0,0
2017-06-11,3,0,2,61,0
2017-06-18,1,0,1,0,0
2017-06-25,2,0,1,0,0
2017-07-02,2,0,2,55,0
2017-07-09,0,0,2,0,0
2017-07-16,0,0,1,61,0
2017-07-23,0,0,2,0,0
2017-07-30,0,0,2,0,0
2017-08-06,0,0,1,0,0
2017-08-13,0,0,2,50,0
2017-08-20,0,0,2,0,0
2017-08-27,0,0,2,0,0
2017-09-03,0,0,3,0,0
2017-09-10,0,0,3,51,3
2017-09-17,2,0,3,0,0
2017-09-24,0,0,4,0,0
2017-10-01,2,0,4,92,0
2017-10-08,5,0,8,60,3
2017-10-15,21,3,13,67,23
2017-10-22,7,4,12,0,7
2017-10-29,6,0,15,92,9
2017-11-05,100,100,100,94,100
2017-11-12,41,29,39,0,88
